21000,Clark,X,Clark County Recorder,4,40.00,NULL,NULL,NULL,NULL,1.00,4,40.00,NULL,NULL,NULL,NULL,1.00,4,40.00,NULL,NULL,NULL,NULL,1.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,500,NULL,NULL,0.25000,S,U,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,Mortgage            ,Deed                ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22000,Clay,X,Clay County Recorder,4,48.00,NULL,NULL,NULL,NULL,1.00,4,48.00,NULL,NULL,NULL,NULL,1.00,4,48.00,NULL,NULL,NULL,NULL,1.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,500,NULL,NULL,0.25000,S,U,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,Mortgage            ,Deed                ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23000,Clinton,X,Clinton County Recorder,4,37.00,NULL,NULL,NULL,NULL,1.00,4,37.00,NULL,NULL,NULL,NULL,1.00,4,37.00,NULL,NULL,NULL,NULL,1.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,500,NULL,NULL,0.25000,S,U,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,Mortgage            ,Deed                ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24000,Coles,X,Coles County Recorder,4,44.00,NULL,NULL,NULL,NULL,1.00,4,44.00,NULL,NULL,NULL,NULL,1.00,4,44.00,NULL,NULL,NULL,NULL,1.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,500,NULL,NULL,0.25000,S,U,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,Mortgage            ,Deed                ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24500,Cook,X,Cook County Recorder,2,48.50,NULL,NULL,NULL,NULL,2.00,2,48.50,NULL,NULL,NULL,NULL,2.00,2,48.50,NULL,NULL,NULL,NULL,2.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,500,NULL,NULL,0.25000,S,U,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,Mortgage            ,Deed                ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,G  ,100,NULL,NULL
25000,Cook,X,Cook County Recorder,2,48.50,NULL,NULL,NULL,NULL,2.00,2,48.50,NULL,NULL,NULL,NULL,2.00,2,48.50,NULL,NULL,NULL,NULL,2.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,500,NULL,NULL,0.25000,S,U,NULL,NULL,NULL,NULL,NULL,NULL,Alsip               ,X,Mortgage            ,Deed                ,City of {{TWNCTYOF}} Stamps   ,           ,           ,1000 ,100.00 ,3.500000  ,S,U,G  ,100,NULL,NULL
26000,Cook,X,Cook County Recorder,2,48.50,NULL,NULL,NULL,NULL,2.00,2,48.50,NULL,NULL,NULL,NULL,2.00,2,48.50,NULL,NULL,NULL,NULL,2.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,500,NULL,NULL,0.25000,S,U,NULL,NULL,NULL,NULL,NULL,NULL,Bartlet             ,X,Mortgage            ,Deed                ,City of {{TWNCTYOF}} Stamps   ,NULL,NULL,1000 ,100.00 ,3.500000  ,S,U,G  ,100,NULL,NULL
27000,Cook,X,Cook County Recorder,2,48.50,NULL,NULL,NULL,NULL,2.00,2,48.50,NULL,NULL,NULL,NULL,2.00,2,48.50,NULL,NULL,NULL,NULL,2.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,500,NULL,NULL,0.25000,S,U,NULL,NULL,NULL,NULL,NULL,NULL,Bedford Park        ,X,Mortgage            ,Deed                ,City of {{TWNCTYOF}} Stamps   ,           ,50.00      ,     ,       ,          , , ,G  ,100,NULL,NULL
28000,Cook,X,Cook County Recorder,2,48.50,NULL,NULL,NULL,NULL,2.00,2,48.50,NULL,NULL,NULL,NULL,2.00,2,48.50,NULL,NULL,NULL,NULL,2.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,500,NULL,NULL,0.25000,S,U,NULL,NULL,NULL,NULL,NULL,NULL,Bellwood            ,X,Mortgage            ,Deed                ,City of {{TWNCTYOF}} Stamps   ,           ,           ,1000 ,       ,5.000000  ,S,U,G  ,100,NULL,NULL
29000,Cook,X,Cook County Recorder,2,48.50,NULL,NULL,NULL,NULL,2.00,2,48.50,NULL,NULL,NULL,NULL,2.00,2,48.50,NULL,NULL,NULL,NULL,2.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,500,NULL,NULL,0.25000,S,U,NULL,NULL,NULL,NULL,NULL,NULL,Berkley             ,X,Mortgage            ,Deed                ,City of {{TWNCTYOF}} Stamps   ,NULL,NULL,1000 ,NULL,3.750000  ,S,U,G  ,100,NULL,NULL
